"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10856","Ввод текста в строки поиска","","Tue Mar 03 18:36:13 UTC 2026","passed","Tue Mar 03 18:36:24 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","2871","Проверка вызовов методов при поиски погоды в городе","","Tue Mar 03 18:36:09 UTC 2026","passed","Tue Mar 03 18:36:12 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","searchWeatherInCity"
"","988","Проверка колонки с основной информацией","","Tue Mar 03 18:36:01 UTC 2026","passed","Tue Mar 03 18:36:02 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkMainInformation"
"","2867","Изменение параметра в статистике за три дня","","Tue Mar 03 18:36:02 UTC 2026","passed","Tue Mar 03 18:36:05 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForThreeDays"
"","1220","Проверка кликабельности кнопки изменения темы","","Tue Mar 03 18:35:58 UTC 2026","passed","Tue Mar 03 18:36:00 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","1306","Проверка блока с подробной информацией","","Tue Mar 03 18:36:06 UTC 2026","passed","Tue Mar 03 18:36:07 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkAdditionalInformation"
"","1213","Проверка блока с информацией о погоде на следующий день","","Tue Mar 03 18:36:00 UTC 2026","passed","Tue Mar 03 18:36:01 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkNextHoursInformation"
"","12403","Открытие GitHub по нажатию на Support Project","","Tue Mar 03 18:35:46 UTC 2026","passed","Tue Mar 03 18:35:58 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","1208","Изменение параметра в статистике за 10 дней","","Tue Mar 03 18:36:07 UTC 2026","passed","Tue Mar 03 18:36:09 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","changeParametrForTenDays"
"","1426","Проверка отображения блока со статистикой","","Tue Mar 03 18:36:05 UTC 2026","passed","Tue Mar 03 18:36:06 UTC 2026","","Основной экран","com.example.test.WeatherPageTest","checkStatisticBlock"
"","1165","Отображение элементов заголовочной строки поиска","","Tue Mar 03 18:36:12 UTC 2026","passed","Tue Mar 03 18:36:13 UTC 2026","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
